864	34.6812
13.2196	17.5567	0.0512916
6.93624	6.93624	10.4044
27.5411	28.0234	6.51739
6.41487	6.83852	15.6534
3.35888	34.3907	29.0938
7.00279	10.4381	24.0191
6.93624	6.93624	27.745
13.8771	7.10107	0.214119
7.06318	6.71173	31.0674
6.93624	10.4044	3.46812
5.89725	9.09919	7.36681
6.93624	10.4044	10.4044
30.7388	32.6772	8.9675
3.04818	10.4677	10.1087
7.35701	11.2152	20.5907
3.08462	13.332	29.0293
2.86908	13.698	33.0061
6.93624	10.4044	31.2131
6.93624	13.8725	0
3.08201	7.15903	10.2282
6.93624	13.8725	6.93624
6.93624	13.8725	10.4044
6.89691	13.3606	14.6337
7.11899	14.216	18.1997
31.8941	11.3587	23.0035
6.93624	13.8725	24.2768
6.93624	13.8725	27.745
6.93624	13.8725	31.2131
6.93624	17.3406	0
3.50311	20.6868	3.04983
6.93624	17.3406	6.93624
6.93624	17.3406	10.4044
6.93624	17.3406	13.8725
26.4269	17.604	7.1922
6.68468	15.8021	21.1549
6.93624	17.3406	24.2768
34.5929	10.2139	34.4801
6.93624	17.3406	31.2131
25.8413	28.6688	1.09883
10.3908	13.955	31.9444
10.3539	21.2933	5.44992
7.15141	20.8741	8.96309
34.5893	24.1638	8.85045
7.59693	29.2034	11.0003
27.9755	19.2731	21.4494
6.93624	20.8087	24.2768
6.93624	20.8087	27.745
30.749	19.3401	29.3696
2.58261	23.9552	30.6923
0.0694687	27.1432	10.3545
6.93624	24.2768	6.93624
6.93624	24.2768	10.4044
6.93624	24.2768	13.8725
3.43356	22.4946	13.9758
32.5624	29.7525	29.7704
14.2087	17.2373	27.8884
6.93624	24.2768	27.745
0.075464	20.53	21.9069
14.9645	25.5398	2.70611
5.8645	27.9268	4.44405
0.0969291	34.2257	3.59259
7.63707	31.6749	6.43508
0.157224	2.74272	9.09696
6.93624	27.745	17.3406
6.93624	27.745	20.8087
10.7611	0.999805	34.1625
29.1441	3.06453	30.6934
6.93624	27.745	31.2131
6.93624	31.2131	0
1.97353	24.6097	5.39162
3.16075	31.5104	17.7768
34.0857	24.2594	18.0069
6.93624	31.2131	13.8725
0.770327	12.4579	15.0123
6.93624	31.2131	20.8087
6.93624	31.2131	24.2768
3.16212	22.2267	0.215668
6.93624	31.2131	31.2131
17.405	34.5213	0.0502926
11.6482	34.2758	2.8997
5.68788	4.65302	2.31631
11.7478	34.3124	10.2119
10.6031	31.6916	20.825
10.4044	0	17.3406
6.72734	34.5614	14.7851
10.4044	0	24.2768
10.2243	6.86511	21.8071
6.84147	27.4894	24.5122
8.36596	3.14493	0.251416
10.4044	3.46812	3.46812
10.4044	3.46812	6.93624
2.69578	31.2789	7.06177
10.4044	3.46812	13.8725
10.4044	3.46812	17.3406
10.4044	3.46812	20.8087
10.4044	3.46812	24.2768
10.4044	3.46812	27.745
10.4044	3.46812	31.2131
10.5506	6.4547	33.3609
10.4044	6.93624	3.46812
10.4044	6.93624	6.93624
9.09392	7.0248	13.3006
34.5063	29.1057	13.3355
10.4044	6.93624	17.3406
12.242	2.69434	11.0861
3.16417	13.7792	25.2206
6.5204	33.3983	3.38513
3.43074	16.9601	34.1009
3.19981	10.338	31.3155
10.4044	10.4044	3.46812
9.5809	10.5817	7.28957
10.4523	10.1835	10.3466
10.4044	10.4044	13.8725
10.4044	10.4044	17.3406
10.4044	10.4044	20.8087
10.4044	10.4044	24.2768
10.4044	10.4044	27.745
10.277	9.82733	32.3072
6.30058	20.8962	34.242
2.97223	16.1742	6.94021
10.4044	13.8725	6.93624
10.4044	13.8725	10.4044
10.4044	13.8725	13.8725
10.4044	13.8725	17.3406
10.4044	13.8725	20.8087
10.4044	13.8725	24.2768
10.4044	13.8725	27.745
9.77622	12.4141	0.646587
13.4575	20.644	31.3659
10.4044	17.3406	3.46812
10.4044	17.3406	6.93624
10.4044	17.3406	10.4044
10.4044	17.3406	13.8725
10.4044	17.3406	17.3406
10.4044	17.3406	20.8087
10.4044	17.3406	24.2768
10.4044	17.3406	27.745
10.4044	17.3406	31.2131
34.1095	18.0048	7.47862
10.545	20.4064	1.91274
6.32341	20.493	14.0772
10.4044	20.8087	10.4044
10.4044	20.8087	13.8725
10.4044	20.8087	17.3406
10.4044	20.8087	20.8087
10.4044	20.8087	24.2768
15.35	31.4006	30.7839
10.7308	21.1049	29.2685
8.78736	23.6665	0.00959208
14.1439	31.1401	10.5941
10.4044	24.2768	6.93624
10.4044	24.2768	10.4044
10.4044	24.2768	13.8725
10.4044	24.2768	17.3406
10.4044	24.2768	20.8087
10.4044	24.2768	24.2768
10.0671	23.6631	31.6732
6.90959	24.2314	22.1317
10.4641	27.7768	34.5442
9.77331	26.2815	2.74942
10.4044	27.745	6.93624
10.4044	27.745	10.4044
10.4044	27.745	13.8725
10.4044	27.745	17.3406
10.4044	27.745	20.8087
10.4044	27.745	24.2768
10.4044	27.745	27.745
10.4044	27.745	31.2131
3.53338	24.998	2.59174
18.5043	24.0895	3.33188
3.82744	2.55442	0.507984
10.4044	31.2131	10.4044
10.4044	31.2131	13.8725
10.4044	31.2131	17.3406
3.43775	31.5126	21.5384
10.4044	31.2131	24.2768
3.7284	5.12615	31.9024
10.4044	31.2131	31.2131
13.8725	0	0
8.76764	30.7346	3.26426
13.8725	0	6.93624
15.6742	34.6299	10.6578
12.1589	34.0329	13.5474
6.5365	27.8963	13.9326
8.64423	31.4211	28.4478
14.2537	34.6429	24.3619
14.1545	32.9278	20.8339
13.8725	0	31.2131
13.8725	3.46812	0
14.2666	2.25611	4.34656
20.1901	0.36957	10.0089
14.5037	3.81226	8.66319
14.1769	2.39296	14.0149
13.5133	4.32344	17.3041
13.8725	3.46812	20.8087
13.8725	3.46812	24.2768
13.8725	3.46812	27.745
13.8725	3.46812	31.2131
8.20249	13.7167	3.62054
4.04488	34.2166	7.2713
13.8725	6.93624	6.93624
12.6673	7.19626	10.845
13.8725	6.93624	13.8725
13.9118	8.11917	17.3961
13.8725	6.93624	20.8087
23.7978	6.28515	25.8339
13.8725	6.93624	27.745
13.8725	6.93624	31.2131
13.8725	10.4044	0
13.8191	5.53428	3.46631
13.8725	10.4044	6.93624
13.8725	10.4044	10.4044
13.8725	10.4044	13.8725
17.1428	17.7424	8.70833
13.8725	10.4044	20.8087
7.00634	3.3546	31.5532
13.8725	10.4044	27.745
13.8725	10.4044	31.2131
13.8725	13.8725	0
12.1835	13.3428	3.18546
13.8725	13.8725	6.93624
13.8725	13.8725	10.4044
13.8725	13.8725	13.8725
13.8725	13.8725	17.3406
13.8725	13.8725	20.8087
13.8725	13.8725	24.2768
13.8725	13.8725	27.745
13.8725	13.8725	31.2131
7.09991	24.2842	3.35978
13.8725	17.3406	3.46812
13.8725	17.3406	6.93624
13.8725	17.3406	10.4044
13.8725	17.3406	13.8725
6.98907	19.4768	17.4669
13.8725	17.3406	20.8087
13.769	17.698	24.3439
13.6689	24.308	27.6968
13.8725	17.3406	31.2131
7.15066	20.3071	5.26967
13.8725	20.8087	3.46812
13.7961	22.1037	7.12685
13.8725	20.8087	10.4044
13.8725	20.8087	13.8725
13.8725	20.8087	17.3406
13.8725	20.8087	20.8087
13.8725	20.8087	24.2768
13.8725	20.8087	27.745
9.09255	0.475838	7.00322
20.3757	27.607	27.3151
12.1566	23.9389	4.14422
21.07	23.6992	34.5669
13.8725	24.2768	10.4044
13.8725	24.2768	13.8725
13.8725	24.2768	17.3406
15.9016	24.3288	21.1994
13.8725	24.2768	24.2768
10.8551	20.9846	33.3263
13.8725	24.2768	31.2131
13.8725	27.745	0
18.8961	28.2211	10.5251
13.8725	27.745	6.93624
2.67747	24.9554	11.9079
7.31722	32.631	17.66
13.8725	27.745	17.3406
13.8725	27.745	20.8087
13.8725	27.745	24.2768
13.8725	27.745	27.745
13.8725	27.745	31.2131
13.8725	31.2131	0
13.1866	30.1346	4.00546
14.3984	31.2993	7.0497
2.31367	27.6622	0.0173104
13.8725	31.2131	13.8725
