0	inf
0.01	1.39667e-193
0.02	6.97676e-193
0.03	6.13406e-192
0.04	6.75779e-191
0.05	8.3864e-190
0.06	1.11805e-188
0.07	1.56125e-187
0.08	2.24932e-186
0.09	3.31105e-185
0.1	4.94683e-184
0.11	7.46578e-183
0.12	1.1342e-181
0.13	1.72986e-180
0.14	2.6433e-179
0.15	4.04001e-178
0.16	6.16798e-177
0.17	9.39639e-176
0.18	1.42707e-174
0.19	2.15911e-173
0.2	3.25213e-172
0.21	4.87409e-171
0.22	7.26521e-170
0.23	1.0766e-168
0.24	1.58549e-167
0.25	2.31974e-166
0.26	3.37102e-165
0.27	4.86437e-164
0.28	6.96854e-163
0.29	9.90883e-162
0.3	1.39828e-160
0.31	1.95788e-159
0.32	2.71983e-158
0.33	3.74803e-157
0.34	5.12293e-156
0.35	6.94453e-155
0.36	9.33542e-154
0.37	1.24438e-152
0.38	1.64461e-151
0.39	2.15492e-150
0.4	2.79917e-149
0.41	3.60434e-148
0.42	4.60042e-147
0.43	5.81994e-146
0.44	7.29736e-145
0.45	9.06817e-144
0.46	1.11676e-142
0.47	1.36291e-141
0.48	1.64826e-140
0.49	1.97523e-139
0.5	2.34546e-138
0.51	2.75958e-137
0.52	3.21699e-136
0.53	3.71564e-135
0.54	4.25192e-134
0.55	4.82049e-133
0.56	5.41429e-132
0.57	6.02457e-131
0.58	6.64102e-130
0.59	7.25202e-129
0.6	7.84494e-128
0.61	8.40657e-127
0.62	8.92357e-126
0.63	9.38299e-125
0.64	9.77282e-124
0.65	1.00825e-122
0.66	1.03033e-121
0.67	1.04291e-120
0.68	1.04559e-119
0.69	1.03831e-118
0.7	1.02124e-117
0.71	9.94865e-117
0.72	9.59908e-116
0.73	9.17319e-115
0.74	8.68222e-114
0.75	8.13874e-113
0.76	7.55605e-112
0.77	6.94768e-111
0.78	6.32687e-110
0.79	5.70607e-109
0.8	5.09662e-108
0.81	4.50837e-107
0.82	3.94954e-106
0.83	3.42658e-105
0.84	2.94413e-104
0.85	2.50515e-103
0.86	2.111e-102
0.87	1.76164e-101
0.88	1.45585e-100
0.89	1.19148e-99
0.9	9.65658e-99
0.91	7.7504e-98
0.92	6.16009e-97
0.93	4.84853e-96
0.94	3.77911e-95
0.95	2.91693e-94
0.96	2.22953e-93
0.97	1.68754e-92
0.98	1.26486e-91
0.99	9.38818e-91
1	6.90024e-90
1.01	5.02217e-89
1.02	3.6196e-88
1.03	2.58327e-87
1.04	1.82566e-86
1.05	1.27763e-85
1.06	8.85376e-85
1.07	6.07553e-84
1.08	4.12832e-83
1.09	2.77776e-82
1.1	1.85075e-81
1.11	1.22103e-80
1.12	7.97692e-80
1.13	5.16024e-79
